respondentId,party,color
9895,AL,#d87539
9896,PT,#f8bf3f
9897,CZ,#97854f
9898,AT,#ae8648
9899,CH,#b19246
9900,HR,#bc8144
9901,NL,#8c974b
9902,FR,#b49f44
9903,FR,#b49f44
9904,BA,#c37c41
9905,DK,#6b8e57
9906,AT,#ae8648
9907,MK,#d0733c
9908,PL,#867f57
9909,AT,#ae8648
9910,SI,#b58346
9911,BA,#c37c41
9912,SI,#b58346
9913,AT,#ae8648
9914,AZ,#cf2a2d
9915,GB,#7fa047
9916,MK,#d0733c
9917,BY,#7b7261
9918,RO,#b06e48
9919,MK,#d0733c
9920,BA,#c37c41
9921,FR,#b49f44
9922,DK,#6b8e57
9923,GB,#7fa047
9924,NO,#3d8e61
9925,RO,#b06e48
9926,IS,#2ca02c
9927,CH,#b19246
9928,CZ,#97854f
9929,IT,#ce893f
9930,DK,#6b8e57
9931,GB,#7fa047
9932,DK,#6b8e57
9933,SE,#3c8a6a
9934,BA,#c37c41
9935,PL,#867f57
9936,NO,#3d8e61
9937,CH,#b19246
9938,GE,#c43d39
9939,EE,#507d73
9940,RS,#c17541
9941,NL,#8c974b
9942,SI,#b58346
9943,EE,#507d73
9944,FI,#2b8384
9945,DE,#918e4e
9946,ES,#eeb33e
9947,FR,#b49f44
9948,HR,#bc8144
9949,ES,#eeb33e
9950,PT,#f8bf3f
9951,AT,#ae8648
9952,IT,#ce893f
9953,IS,#2ca02c
9954,GB,#7fa047
9955,NL,#8c974b
